,text,is_italic,x_top_left,font_size,start,is_bold,font_name,is_normal,y_top_left,width,end,height,w2v
0,Маршрутная,False,15,56,0,True,ZRQZTP+DejaVuSans-Bold,False,31,417,10,32,0.9333947
1,квитанция,False,15,56,0,True,ZRQZTP+DejaVuSans-Bold,False,101,340,9,32,-0.8010629
2,ELECTRONIC,False,18,18,0,False,JGUTVO+DejaVuSans,True,164,114,10,10,0.13578817
3,TICKET,False,138,18,11,False,JGUTVO+DejaVuSans,True,164,62,17,10,0.33392555
4,/,False,206,18,18,False,JGUTVO+DejaVuSans,True,164,6,19,10,-0.14674962
5,ITINERARY,False,218,18,20,False,JGUTVO+DejaVuSans,True,164,92,29,10,-0.44551462
6,RECEIPT,False,316,18,30,False,JGUTVO+DejaVuSans,True,164,74,37,10,0.7050859
7,Данные,False,18,24,0,True,ZRQZTP+DejaVuSans-Bold,False,216,108,6,13,-0.29986027
8,полета,False,135,24,7,True,ZRQZTP+DejaVuSans-Bold,False,216,96,13,13,0.71589434
9,ПАССАЖИР,False,17,18,0,False,TEYLKT+DejaVuSans,True,270,106,8,10,-0.9001568
10,Aksamentov,False,17,18,0,True,TPAYAN+DejaVuSans-Bold,False,292,125,10,10,-0.052743956
11,Vladimir,False,149,18,11,True,TPAYAN+DejaVuSans-Bold,False,292,84,19,10,0.67326087
12,НОМЕРВАШЕГОБИЛЕТА:,False,598,24,0,False,JGUTVO+DejaVuSans,True,55,316,18,13,0.50149906
13,3219429914,False,598,24,0,True,TPAYAN+DejaVuSans-Bold,False,85,166,10,13,0.9223537
14,НОМЕРБРОНИРОВАНИЯ:,False,598,24,0,False,JGUTVO+DejaVuSans,True,115,307,18,13,0.9707807
15,VV2L03,False,598,24,0,True,TPAYAN+DejaVuSans-Bold,False,145,102,6,13,0.86542356
16,Информация,False,18,24,0,True,ZRQZTP+DejaVuSans-Bold,False,340,179,10,13,0.7886325
17,о,False,206,24,11,True,ZRQZTP+DejaVuSans-Bold,False,340,16,12,13,-0.6886629
18,маршруте,False,231,24,13,True,ZRQZTP+DejaVuSans-Bold,False,340,141,21,13,-0.9100488
19,РЕЙСЫ,False,17,18,0,False,TEYLKT+DejaVuSans,True,394,64,5,10,0.7809893
20,Рейс,False,17,18,0,True,TPAYAN+DejaVuSans-Bold,False,416,48,4,10,-0.09979374
21,OP-23Эконом,False,72,18,5,False,TEYLKT+DejaVuSans,True,416,137,16,10,-0.06791499
22,САМОЛЕТ,False,17,18,0,False,TEYLKT+DejaVuSans,True,461,90,7,10,-0.63600755
23,Airloft,False,17,18,0,False,JGUTVO+DejaVuSans,True,484,53,7,10,0.37108478
24,F003,False,77,18,8,False,JGUTVO+DejaVuSans,True,484,44,12,10,0.0047169775
25,БАГАЖ,False,17,18,0,False,TEYLKT+DejaVuSans,True,529,67,5,10,0.7199661
26,1место,False,17,18,0,False,TEYLKT+DejaVuSans,True,551,73,6,10,0.7274291
27,20кг,False,96,18,7,False,TEYLKT+DejaVuSans,True,551,48,11,10,-0.92533845
28,ВЫЛЕТ,False,302,18,0,False,TEYLKT+DejaVuSans,True,393,64,5,10,0.9740496
29,Чита,False,302,18,0,False,TEYLKT+DejaVuSans,True,416,45,4,10,0.81115973
