text,is_italic,x_top_left,font_size,start,is_bold,font_name,is_normal,y_top_left,width,end,height,tf-idf
Федеральное,false,186,14,0,true,TimesNewRomanPS-BoldMT,false,63,82,11,6,0.3010299956639812
государственное,false,273,14,12,true,TimesNewRomanPS-BoldMT,false,63,104,27,6,0.0
бюджетное,false,381,14,28,true,TimesNewRomanPS-BoldMT,false,63,69,37,6,
образовательное,false,226,14,0,true,TimesNewRomanPS-BoldMT,false,79,105,15,6,
учреждение,false,335,14,16,true,TimesNewRomanPS-BoldMT,false,79,74,26,6,
высшего,false,249,14,0,true,TimesNewRomanPS-BoldMT,false,95,56,7,6,0.0
образования,false,308,14,8,true,TimesNewRomanPS-BoldMT,false,95,79,19,6,0.0
РОССИЙСКАЯ,false,176,14,0,true,TimesNewRomanPS-BoldMT,false,111,101,10,6,0.0
АКАДЕМИЯ,false,282,14,11,true,TimesNewRomanPS-BoldMT,false,111,83,19,6,0.44465780490343443
НАРОДНОГО,false,369,14,20,true,TimesNewRomanPS-BoldMT,false,111,91,29,6,
ХОЗЯЙСТВА,false,274,14,0,true,TimesNewRomanPS-BoldMT,false,127,88,9,6,
и,false,202,14,0,true,TimesNewRomanPS-BoldMT,false,143,8,1,6,0.0
ГОСУДАРСТВЕННОЙ,false,213,14,2,true,TimesNewRomanPS-BoldMT,false,143,150,17,6,0.0
СЛУЖБЫ,false,367,14,18,true,TimesNewRomanPS-BoldMT,false,143,67,24,6,
при,false,156,14,0,true,TimesNewRomanPS-BoldMT,false,160,23,3,6,0.39164905395343774
ПРЕЗИДЕНТЕ,false,183,14,4,true,TimesNewRomanPS-BoldMT,false,160,95,14,6,
РОССИЙСКОЙ,false,282,14,15,true,TimesNewRomanPS-BoldMT,false,160,103,25,6,0.0
ФЕДЕРАЦИИ,false,389,14,26,true,TimesNewRomanPS-BoldMT,false,160,91,35,6,0.4822681122428943
Институт,false,161,14,0,true,TimesNewRomanPS-BoldMT,false,176,60,8,6,0.0
государственной,false,226,14,9,true,TimesNewRomanPS-BoldMT,false,176,106,24,6,0.0
службы,false,336,14,25,true,TimesNewRomanPS-BoldMT,false,176,49,31,6,
и,false,388,14,32,true,TimesNewRomanPS-BoldMT,false,176,8,33,6,0.0
управления,false,400,14,34,true,TimesNewRomanPS-BoldMT,false,176,75,44,6,0.0
Направление,false,85,12,0,false,TimesNewRomanPSMT,true,226,66,11,5,0.3010299956639812
подготовки:,false,154,12,12,false,TimesNewRomanPSMT,true,226,62,23,5,0.39164905395343774
41.04.01.,false,220,12,24,false,TimesNewRomanPSMT,true,226,45,33,5,
Зарубежное,false,268,12,34,false,TimesNewRomanPSMT,true,226,60,44,5,
регионоведение,false,331,12,45,false,TimesNewRomanPSMT,true,226,81,59,5,
Образовательная,false,85,12,0,false,TimesNewRomanPSMT,true,240,87,15,5,
программа:,false,189,12,16,false,TimesNewRomanPSMT,true,240,58,26,5,0.0
«Зарубежное,false,265,12,27,false,TimesNewRomanPSMT,true,240,66,38,5,
