text,is_italic,x_top_left,font_size,start,is_bold,font_name,is_normal,y_top_left,width,end,height,tf-idf
Содержание,false,280,18,0,true,TimesNewRomanPS-BoldMT,false,66,77,10,9,
ВВЕДЕНИЕ…………………………...…………………………………………...3,false,85,18,0,false,TimesNewRomanPSMT,true,91,466,41,9,
1.,false,85,18,0,false,TimesNewRomanPSMT,true,115,10,2,9,0.555429854985112
"Теоретические,",false,99,18,3,false,TimesNewRomanPSMT,true,115,92,17,9,0.3010299956639812
правовые,false,194,18,18,false,TimesNewRomanPSMT,true,115,56,26,9,
и,false,254,18,27,false,TimesNewRomanPSMT,true,115,7,28,9,0.0
организационные,false,265,18,29,false,TimesNewRomanPSMT,true,115,105,44,9,
основы,false,374,18,45,false,TimesNewRomanPSMT,true,115,43,51,9,0.3010299956639812
международного,false,421,18,52,false,TimesNewRomanPSMT,true,115,100,66,9,0.0
сотрудничества……………………………………………………..……………..8,false,85,18,0,false,TimesNewRomanPSMT,true,139,464,44,9,
1.1,false,99,18,0,false,TimesNewRomanPSMT,true,164,17,3,9,
Теоретический,false,120,18,4,false,TimesNewRomanPSMT,true,164,89,17,9,0.3010299956639812
основы,false,213,18,18,false,TimesNewRomanPSMT,true,164,43,24,9,0.3010299956639812
сущности,false,260,18,25,false,TimesNewRomanPSMT,true,164,58,33,9,
международного,false,322,18,34,false,TimesNewRomanPSMT,true,164,100,48,9,0.0
сотрудничества,false,427,18,49,false,TimesNewRomanPSMT,true,164,93,63,9,0.0
Российской,false,99,18,0,false,TimesNewRomanPSMT,true,188,69,10,9,0.0
Федерации,false,172,18,11,false,TimesNewRomanPSMT,true,188,66,20,9,0.4822681122428943
с,false,242,18,21,false,TimesNewRomanPSMT,true,188,6,22,9,0.0
иностранными,false,252,18,23,false,TimesNewRomanPSMT,true,188,88,35,9,0.44465780490343443
государствами…………………...8,false,343,18,36,false,TimesNewRomanPSMT,true,188,203,60,9,
1.2,false,99,18,0,false,TimesNewRomanPSMT,true,212,17,3,9,
Правовые,false,120,18,4,false,TimesNewRomanPSMT,true,212,59,12,9,
основы,false,183,18,13,false,TimesNewRomanPSMT,true,212,43,19,9,0.3010299956639812
международного,false,230,18,20,false,TimesNewRomanPSMT,true,212,100,34,9,0.0
сотрудничества,false,334,18,35,false,TimesNewRomanPSMT,true,212,93,49,9,0.0
Российской,false,432,18,50,false,TimesNewRomanPSMT,true,212,69,60,9,0.0
